,id,score_normalized,reviewed_at,vintage_id
360,3447601,96,2019-03-25T00:00:00Z,87652632
361,3447602,94,2014-01-01T00:00:00Z,87652632
362,206779,95,2015-10-30T00:00:00Z,2436982
363,3013584,91,2016-04-01T00:00:00Z,2436982
364,3169582,96,2016-04-19T00:00:00Z,2436982
365,1823567,91,2016-09-28T00:00:00Z,1823533
366,3178727,90,2014-05-12T00:00:00Z,1823533
367,1706262,90,2006-04-24T00:00:00Z,104926
368,2829898,88,2006-06-01T00:00:00Z,104926
369,2838899,88,2008-03-01T00:00:00Z,104926
370,3015966,88,2008-10-01T00:00:00Z,104926
371,2546452,88,2012-04-01T00:00:00Z,1304908
372,2663259,89,2012-04-26T00:00:00Z,1304908
373,212954,93,2011-05-02T00:00:00Z,1243005
374,1370590,92,2015-12-31T00:00:00Z,1243005
375,1955997,95,2013-11-04T00:00:00Z,1243005
376,2506081,88,2011-06-01T00:00:00Z,1243005
377,2507759,92,2013-03-01T00:00:00Z,1243005
378,3179820,89,2014-03-11T00:00:00Z,1243005
379,3012518,91,2018-04-01T00:00:00Z,101006002
380,3493964,92,2019-05-16T00:00:00Z,101006002
381,1706228,91,2006-04-24T00:00:00Z,1201831
382,1931309,95,2016-03-03T00:00:00Z,1201831
383,2546049,92,2008-12-01T00:00:00Z,1201831
384,2546050,87,2008-05-01T00:00:00Z,1201831
385,2546051,92,2007-02-01T00:00:00Z,1201831
386,2546052,90,2007-01-01T00:00:00Z,1201831
387,2546053,95,2006-04-01T00:00:00Z,1201831
388,2838891,93,2008-03-01T00:00:00Z,1201831
389,2840032,92,2006-06-01T00:00:00Z,1201831
390,3223148,90,2018-10-29T00:00:00Z,99101693
391,3216985,91,2018-11-20T00:00:00Z,31027695
392,1375365,92,2007-11-15T00:00:00Z,1205390
393,1701315,94,2005-04-29T00:00:00Z,1205390
394,1927226,93,2015-08-21T00:00:00Z,1205390
395,2838490,97,2007-03-01T00:00:00Z,1205390
396,2839962,95,2005-06-01T00:00:00Z,1205390
397,3016066,94,2007-10-01T00:00:00Z,1205390
398,3299739,94,2018-11-30T00:00:00Z,1205390
399,3494791,92,2019-06-28T00:00:00Z,18351415
400,3503958,92,2019-11-27T00:00:00Z,18351415
401,3503959,92,2014-01-01T00:00:00Z,18351415
402,3504018,91,2019-12-02T00:00:00Z,18351415
403,3504241,91,2019-12-10T00:00:00Z,18351415
404,3504242,90,2014-01-01T00:00:00Z,18351415
405,3506043,95,2019-11-07T00:00:00Z,14221882
406,1736698,93,2010-04-27T00:00:00Z,1424582
407,2833552,85,2010-06-01T00:00:00Z,1424582
408,3489257,97,2019-03-14T00:00:00Z,1424582
409,1377240,90,2012-09-27T00:00:00Z,1178371
410,1705480,88,2006-06-30T00:00:00Z,1178371
411,2833771,90,2005-06-01T00:00:00Z,1178371
412,2838532,90,2007-03-01T00:00:00Z,1178371
413,3016077,93,2007-10-01T00:00:00Z,1178371
414,1369023,89,2012-04-08T00:00:00Z,1333407
415,2662941,90,2012-04-26T00:00:00Z,1333407
